frame.time_epoch,eth.src,eth.dst,arp.opcode,arp.src.hw_mac,arp.src.proto_ipv4,arp.dst.hw_mac,arp.dst.proto_ipv4,arp.isgratuitous
1778013836.792873970,00:e0:4c:36:70:d5,ff:ff:ff:ff:ff:ff,1,00:e0:4c:36:70:d5,0.0.0.0,00:00:00:00:00:00,192.168.1.5,
1778013836.828074867,00:e0:4c:36:70:d5,ff:ff:ff:ff:ff:ff,1,00:e0:4c:36:70:d5,0.0.0.0,00:00:00:00:00:00,192.168.1.5,
1778013836.889292957,00:e0:4c:36:70:d5,ff:ff:ff:ff:ff:ff,1,00:e0:4c:36:70:d5,0.0.0.0,00:00:00:00:00:00,192.168.1.5,
1778013837.000537973,00:e0:4c:36:70:d5,ff:ff:ff:ff:ff:ff,1,00:e0:4c:36:70:d5,192.168.1.5,00:00:00:00:00:00,192.168.1.5,True
1778013838.177156127,44:fb:5a:d1:93:49,ff:ff:ff:ff:ff:ff,1,44:fb:5a:d1:93:49,192.168.1.1,00:00:00:00:00:00,192.168.1.16,
1778013839.000969773,00:e0:4c:36:70:d5,ff:ff:ff:ff:ff:ff,1,00:e0:4c:36:70:d5,192.168.1.5,00:00:00:00:00:00,192.168.1.5,True
1778013839.170443070,44:fb:5a:d1:93:49,ff:ff:ff:ff:ff:ff,1,44:fb:5a:d1:93:49,192.168.1.1,00:00:00:00:00:00,192.168.1.16,
1778013840.170663568,44:fb:5a:d1:93:49,ff:ff:ff:ff:ff:ff,1,44:fb:5a:d1:93:49,192.168.1.1,00:00:00:00:00:00,192.168.1.16,
1778013841.001371478,00:e0:4c:36:70:d5,ff:ff:ff:ff:ff:ff,1,00:e0:4c:36:70:d5,192.168.1.5,00:00:00:00:00:00,192.168.1.5,True
1778013859.802078725,62:5e:34:e9:d2:73,ff:ff:ff:ff:ff:ff,1,62:5e:34:e9:d2:73,192.168.1.9,00:00:00:00:00:00,192.168.1.2,
1778013859.802078785,62:5e:34:e9:d2:73,ff:ff:ff:ff:ff:ff,1,62:5e:34:e9:d2:73,192.168.1.9,00:00:00:00:00:00,192.168.1.3,
1778013859.802078845,62:5e:34:e9:d2:73,ff:ff:ff:ff:ff:ff,1,62:5e:34:e9:d2:73,192.168.1.9,00:00:00:00:00:00,192.168.1.6,
1778013859.802577154,62:5e:34:e9:d2:73,ff:ff:ff:ff:ff:ff,1,62:5e:34:e9:d2:73,192.168.1.9,00:00:00:00:00:00,192.168.1.7,
1778013859.802577294,62:5e:34:e9:d2:73,ff:ff:ff:ff:ff:ff,1,62:5e:34:e9:d2:73,192.168.1.9,00:00:00:00:00:00,192.168.1.8,
1778013859.803455381,62:5e:34:e9:d2:73,ff:ff:ff:ff:ff:ff,1,62:5e:34:e9:d2:73,192.168.1.9,00:00:00:00:00:00,192.168.1.11,
1778013859.803455512,62:5e:34:e9:d2:73,ff:ff:ff:ff:ff:ff,1,62:5e:34:e9:d2:73,192.168.1.9,00:00:00:00:00:00,192.168.1.12,
