frame.time_epoch,eth.src,eth.dst,arp.opcode,arp.src.hw_mac,arp.src.proto_ipv4,arp.dst.hw_mac,arp.dst.proto_ipv4,arp.isgratuitous
1778231098.303732905,00:e0:4c:36:70:d5,ff:ff:ff:ff:ff:ff,1,00:e0:4c:36:70:d5,0.0.0.0,00:00:00:00:00:00,192.168.1.5,
1778231098.369830417,00:e0:4c:36:70:d5,ff:ff:ff:ff:ff:ff,1,00:e0:4c:36:70:d5,0.0.0.0,00:00:00:00:00:00,192.168.1.5,
1778231098.423754117,00:e0:4c:36:70:d5,ff:ff:ff:ff:ff:ff,1,00:e0:4c:36:70:d5,0.0.0.0,00:00:00:00:00:00,192.168.1.5,
1778231098.534691808,00:e0:4c:36:70:d5,ff:ff:ff:ff:ff:ff,1,00:e0:4c:36:70:d5,192.168.1.5,00:00:00:00:00:00,192.168.1.5,True
1778231100.534900502,00:e0:4c:36:70:d5,ff:ff:ff:ff:ff:ff,1,00:e0:4c:36:70:d5,192.168.1.5,00:00:00:00:00:00,192.168.1.5,True
1778231102.535152016,00:e0:4c:36:70:d5,ff:ff:ff:ff:ff:ff,1,00:e0:4c:36:70:d5,192.168.1.5,00:00:00:00:00:00,192.168.1.5,True
1778231128.246285565,00:e0:4c:36:70:d5,ff:ff:ff:ff:ff:ff,1,00:e0:4c:36:70:d5,192.168.1.5,00:00:00:00:00:00,192.168.1.1,
1778231128.247701393,44:fb:5a:d1:93:49,00:e0:4c:36:70:d5,2,44:fb:5a:d1:93:49,192.168.1.1,00:e0:4c:36:70:d5,192.168.1.5,
1778231133.259767549,44:fb:5a:d1:93:49,00:e0:4c:36:70:d5,1,44:fb:5a:d1:93:49,192.168.1.1,00:00:00:00:00:00,192.168.1.5,
1778231133.259782988,00:e0:4c:36:70:d5,44:fb:5a:d1:93:49,2,00:e0:4c:36:70:d5,192.168.1.5,44:fb:5a:d1:93:49,192.168.1.1,
1778231142.439556826,72:8d:bc:2b:01:66,ff:ff:ff:ff:ff:ff,1,72:8d:bc:2b:01:66,192.168.1.9,00:00:00:00:00:00,192.168.1.1,
1778231142.439557007,72:8d:bc:2b:01:66,ff:ff:ff:ff:ff:ff,1,72:8d:bc:2b:01:66,192.168.1.9,00:00:00:00:00:00,192.168.1.2,
1778231142.439557077,72:8d:bc:2b:01:66,ff:ff:ff:ff:ff:ff,1,72:8d:bc:2b:01:66,192.168.1.9,00:00:00:00:00:00,192.168.1.3,
1778231142.439907575,72:8d:bc:2b:01:66,ff:ff:ff:ff:ff:ff,1,72:8d:bc:2b:01:66,192.168.1.9,00:00:00:00:00:00,192.168.1.4,
1778231142.439907705,72:8d:bc:2b:01:66,ff:ff:ff:ff:ff:ff,1,72:8d:bc:2b:01:66,192.168.1.9,00:00:00:00:00:00,192.168.1.5,
1778231142.439922603,00:e0:4c:36:70:d5,72:8d:bc:2b:01:66,2,00:e0:4c:36:70:d5,192.168.1.5,72:8d:bc:2b:01:66,192.168.1.9,
1778231142.439907756,72:8d:bc:2b:01:66,ff:ff:ff:ff:ff:ff,1,72:8d:bc:2b:01:66,192.168.1.9,00:00:00:00:00:00,192.168.1.6,
1778231142.439907796,72:8d:bc:2b:01:66,ff:ff:ff:ff:ff:ff,1,72:8d:bc:2b:01:66,192.168.1.9,00:00:00:00:00:00,192.168.1.7,
1778231142.440439192,72:8d:bc:2b:01:66,ff:ff:ff:ff:ff:ff,1,72:8d:bc:2b:01:66,192.168.1.9,00:00:00:00:00:00,192.168.1.8,
1778231142.440439322,72:8d:bc:2b:01:66,ff:ff:ff:ff:ff:ff,1,72:8d:bc:2b:01:66,192.168.1.9,00:00:00:00:00:00,192.168.1.10,
1778231142.440439373,72:8d:bc:2b:01:66,ff:ff:ff:ff:ff:ff,1,72:8d:bc:2b:01:66,192.168.1.9,00:00:00:00:00:00,192.168.1.11,
1778231142.443069647,72:8d:bc:2b:01:66,ff:ff:ff:ff:ff:ff,1,72:8d:bc:2b:01:66,192.168.1.9,00:00:00:00:00:00,192.168.1.14,
1778231142.443069767,72:8d:bc:2b:01:66,ff:ff:ff:ff:ff:ff,1,72:8d:bc:2b:01:66,192.168.1.9,00:00:00:00:00:00,192.168.1.15,
1778231142.443069817,72:8d:bc:2b:01:66,ff:ff:ff:ff:ff:ff,1,72:8d:bc:2b:01:66,192.168.1.9,00:00:00:00:00:00,192.168.1.16,
1778231142.443069867,72:8d:bc:2b:01:66,ff:ff:ff:ff:ff:ff,1,72:8d:bc:2b:01:66,192.168.1.9,00:00:00:00:00:00,192.168.1.17,
1778231142.539680357,72:8d:bc:2b:01:66,ff:ff:ff:ff:ff:ff,1,72:8d:bc:2b:01:66,192.168.1.9,00:00:00:00:00:00,192.168.1.20,
1778231142.539680537,72:8d:bc:2b:01:66,ff:ff:ff:ff:ff:ff,1,72:8d:bc:2b:01:66,192.168.1.9,00:00:00:00:00:00,192.168.1.21,
1778231142.539680617,72:8d:bc:2b:01:66,ff:ff:ff:ff:ff:ff,1,72:8d:bc:2b:01:66,192.168.1.9,00:00:00:00:00:00,192.168.1.22,
1778231142.539680688,72:8d:bc:2b:01:66,ff:ff:ff:ff:ff:ff,1,72:8d:bc:2b:01:66,192.168.1.9,00:00:00:00:00:00,192.168.1.23,
1778231142.540098872,72:8d:bc:2b:01:66,ff:ff:ff:ff:ff:ff,1,72:8d:bc:2b:01:66,192.168.1.9,00:00:00:00:00:00,192.168.1.24,
1778231142.540099062,72:8d:bc:2b:01:66,ff:ff:ff:ff:ff:ff,1,72:8d:bc:2b:01:66,192.168.1.9,00:00:00:00:00:00,192.168.1.25,
1778231142.540099132,72:8d:bc:2b:01:66,ff:ff:ff:ff:ff:ff,1,72:8d:bc:2b:01:66,192.168.1.9,00:00:00:00:00:00,192.168.1.26,
1778231142.540099213,72:8d:bc:2b:01:66,ff:ff:ff:ff:ff:ff,1,72:8d:bc:2b:01:66,192.168.1.9,00:00:00:00:00:00,192.168.1.27,
1778231142.543141390,72:8d:bc:2b:01:66,ff:ff:ff:ff:ff:ff,1,72:8d:bc:2b:01:66,192.168.1.9,00:00:00:00:00:00,192.168.1.30,
1778231142.543141520,72:8d:bc:2b:01:66,ff:ff:ff:ff:ff:ff,1,72:8d:bc:2b:01:66,192.168.1.9,00:00:00:00:00:00,192.168.1.31,
1778231142.543141570,72:8d:bc:2b:01:66,ff:ff:ff:ff:ff:ff,1,72:8d:bc:2b:01:66,192.168.1.9,00:00:00:00:00:00,192.168.1.32,
1778231142.543141621,72:8d:bc:2b:01:66,ff:ff:ff:ff:ff:ff,1,72:8d:bc:2b:01:66,192.168.1.9,00:00:00:00:00:00,192.168.1.33,
1778231142.579874250,72:8d:bc:2b:01:66,ff:ff:ff:ff:ff:ff,1,72:8d:bc:2b:01:66,192.168.1.9,00:00:00:00:00:00,192.168.1.36,
1778231142.579874471,72:8d:bc:2b:01:66,ff:ff:ff:ff:ff:ff,1,72:8d:bc:2b:01:66,192.168.1.9,00:00:00:00:00:00,192.168.1.37,
